id,Geographic_Area_Name,Year,Share_of_Male_Aged_15_24,Foreign_Born ,Male_Householder_No_Spouse_Partner_Present,predicted_ratio_it,ineq,violent_crime,robbery,aggravated_assault,property_crime,burglary,larceny,motor_vehicle_theft,total_crime
25,Mississippi,2018,15.1,2.4,4.2,0.573915457,0.552188552,7929,1700,5419,71701,20355,46201,5145,158450
26,Missouri,2018,13.6,4.2,4.5,1.010214086,1.079812207,30696,5206,21956,162698,27345,115506,19847,383254
27,Montana,2018,13.3,2.2,4.1,0.85969314,1.014150943,4040,270,3164,26787,3329,20641,2817,61048
28,Nebraska,2018,14.1,7.2,4.5,1.187481592,1.363636364,5583,736,3513,40193,5308,29987,4898,90218
29,Nevada,2018,12.2,19.4,7,1.497107705,1.357894737,16715,3862,10322,73998,17741,44341,11916,178895
30,New Hampshire,2018,13.3,6.1,4.2,2.712114975,2.397350993,2404,342,1463,17201,1908,14396,897,38611
31,New Jersey,2018,13,22.8,4.9,3.339585116,2.718954248,18536,6364,10463,125155,19232,94886,11037,285673
32,New Mexico,2018,13.9,9.5,5.7,0.942734213,0.701438849,17637,2646,13536,70722,16102,44592,10028,175263
33,New York,2018,13.2,22.8,4.9,1.908718399,1.689655172,68512,18191,43182,281543,31158,237243,13142,692971
34,North Carolina,2018,14.1,7.9,4.5,0.945499684,1.078341014,36980,7573,26200,243323,57450,169376,16497,557399
35,North Dakota,2018,14.7,4.7,4.1,1.145436055,1.61452514,2154,158,1569,15621,2742,11088,1791,35123
36,Ohio,2018,13.6,4.8,4.9,1.031591879,1.11627907,34426,9608,18370,257848,49456,188433,19959,578100
37,Oklahoma,2018,14.2,6,5.3,0.847461351,0.912663755,18701,2805,13250,114395,27178,73799,13418,263546
38,Oregon,2018,12.7,10.3,4.7,1.169058977,1.612359551,12146,2515,7431,122401,16515,89191,16695,266894
39,Pennsylvania,2018,13.2,7.2,4.7,1.359567653,1.383084577,39099,9854,23971,190633,27054,150441,13138,454190
40,Rhode Island,2018,14.5,13.2,4.9,1.565381607,1.534313725,2326,453,1363,17625,2817,13270,1538,39392
41,South Carolina,2018,14.3,5.1,4.5,0.814425914,0.918454936,25463,3592,18810,156330,29957,111427,14946,360525
42,South Dakota,2018,13.1,4,4.3,1.019577219,1.178378378,3483,222,2632,15191,2502,11237,1452,36719
43,Tennessee,2018,13.6,5.1,4.9,0.831271499,0.943722944,42687,7222,31946,192897,33538,138710,20649,467649
44,Texas,2018,14.6,17.2,5.2,1.399387144,1.439393939,118197,28339,73433,681143,117897,493238,70008,1582255
45,Utah,2018,16.5,8.6,4.5,1.765473787,2.496124031,7551,1237,4397,76294,10079,58406,7809,165773
